rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.532770242265120597e-01 5.702526017422366866e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.548020593648433030e-01 5.801880143424077430e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.541503344038717582e-01 5.749569215594568794e-01
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.527682184005208388e-01 5.726797035050961160e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.549875269175047698e-01 5.855517540640310381e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.550824474104665507e-01 5.852197227384381417e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.514044646364887559e-01 5.737195347433072801e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.540053090161326743e-01 5.939582917223635850e-01
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.556755094499701508e-01 5.942014090804316195e-01
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.528552048074492298e-01 5.694372470626284377e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.548225836553144719e-01 5.797828666125769415e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.544672754740619602e-01 5.749112633162845043e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.517092707992511613e-01 5.705354108766127474e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.545534333998337839e-01 5.847749745339121397e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.554051090898930676e-01 5.856680230276298804e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.508926327538600454e-01 5.698524562974354168e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.535051803699524653e-01 5.943752787288593131e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.558105389998421408e-01 5.928570887996313932e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.519339272483610115e-01 5.655872939794023280e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.550258528242212552e-01 5.792043832057068853e-01
8.000000000000000444e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.546492803691244422e-01 5.750358308276746211e-01
8.000000000000000444e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.513263419091098072e-01 5.672215289780998537e-01
8.000000000000000444e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 3.000000000000000000e+02 9.542352804367629782e-01 5.846079902547991480e-01
8.000000000000000444e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 3.000000000000000000e+02 9.557802224986284845e-01 5.859864501005324078e-01
