drug,protein1,protein2,protein3,protein4,protein5,protein6,protein6,protein8,protein9,protein10
Cetrore,FSHR,TSHR,ENPP1,DRD2,DRD3,ADRA1A,SCGB1A1,TYR,CHRM1,CHRM3
Thiamin,PTGS2,PTGS1,HTR1B,HTR2A,ADRA2C,DRD2,ADRA2A,ADRA2B,HTR2C,DRD4
Vitamin,ALDH2,ALDH5A1,ADORA1,EPHX2,CBS,ADORA2A,MGMT,PDE4B,RYR1,PGR
Pravast,LDLR,ITGAL,ITGB2,GABRB3,PTGS2,PTGS1,ADRA1A,NR3C2,CHRM1,HDAC1
Fluvoxa,SLC6A3,SLC6A2,HTR2A,HTR1A,ADRA1A,DBH,ADRA2A,ADRA1B,DRD2,SCN2A
Valsart,ACE,AGTR2,BDKRB2,P2RY12,CCR5,CXCR4,PPARG,ABCC8,FPR1,F2R
Ramipri,ACE2,ADRB2,ADRB1,AGTR2,MYH7,PTGS2,PTGS1,ADRA1A,ADRA2A,CHRM2
Fluniso,NR3C2,PGR,AR,SMO,ATOX1,RSL24D1,ABCC8,ADRA1A,ADRA2A,ANXA1
Baclofe,SLC6A2,SLC6A3,SLC6A4,CHRM3,CHRM1,OPRK1,CHRM2,HTR2A,ADRA1A,OPRM1
Ampheta,SLC6A4,MAOB,SLC6A2,ADRA2A,ADRA2C,DRD3,DRD2,DRD1,ADRA2B,MAOA
Nicotin,CHRNA1,MAOB,CHRNB1,HTR3A,PPARG,ADRA2A,ADRA2B,MAOA,KCNN2,PTGS2
Cevimel,CHRM2,CHRM5,CHRM4,BCHE,ACHE,HTR1B,HTR2A,HTR1A,DRD2,DRD3
Lorazep,GLRA2,ADRA2B,GLRB,HTR1A,MKL1,PTGDR,GHRHR,FNTB,GABBR1,ARPC1B
Esmolol,ADRB2,ADRB3,HTR4,MYH7,HTR6,ADRA1A,HTR1A,ADRA2A,HTR1B,ADORA2B
Bortezo,IMPA1,PSMB3,TOP2A,PSMB6,SLC6A1,PSMB7,SLC25A4,PSMB4,MAPK1,MAPK3
Phenter,SLC18A2,DBH,SLC6A1,SLC6A5,SLC6A9,ADRA2C,ADRA2A,ADRA2B,HTR2A,SLC6A8
Tramado,SLC6A3,OPRL1,CHRM4,CHRM1,CHRM2,CHRM5,DRD4,GRIN3B,HTR2A,HTR1A
Betaxol,ADRB3,MYH7,HTR4,HTR1A,REN,HTR1B,MMP13,HRH2,HTR6,ADRA2A
Flucona,CYP19A1,PTGS1,PTGS2,PPARG,HTR1D,HTR1B,ALOX5,HTR1F,DRD2,ADRA1A
Troglit,PPARD,NR5A1,ESR1,PPARA,AMBP,PLAUR,OPRK1,OPRM1,OPRD1,ITGB2
Oseltam,TYMS,DHFR,FKBP1A,CEL,BCHE,FSHR,ACHE,ADRA1A,ADRA2A,HTR2A
Erythro,BCHE,ACHE,ADRA1A,KCNH2,SLC6A4,CHRM2,ADRB1,GABRA1,CHRM1,HTR2A
Hydroxo,GNGT1,PPA1,EPN1,LMAN1,DCK,RRM1,ACACA,FBP1,FLT3,TRAPPC2
Caffein,PDE4A,PDE4D,ADORA2B,PDE5A,NT5E,PDE1A,PDE9A,RBP3,RLBP1,ALDH1A1
Succiny,CHRNA2,CHRM5,CHRM4,BCHE,HTR3A,ADRA1A,ACHE,SLC6A3,DRD2,SCN10A
Sildena,TUBB4,TNFRSF1,GUCY1A2,CHM,HNF4G,PDE10A,NCOA5,NDUFA4L,CCT3,XDH
Dofetil,CACNA1C,KCNK1,ADRB1,ADRB2,KCNJ1,CHRM2,CHRM3,CHRM1,CHRM4,KCNJ11
Pyrimet,CHRM3,CHRM2,CHRM1,CHRM4,SCNN1A,SCNN1G,SCNN1D,CD44,SLC16A1,BCHE
Reserpi,TUBB,ADRA1D,GABRA1,CHRNA7,GRIA2,GABRA4,CHRNA4,GABRA3,ADRA2A,ADRA1B
Azithro,MGAM,GAA,PTGS1,PTGS2,PDE4A,PDE4D,PDE4B,PGD,ADRA1A,CHRM1
Ticlopi,PTGS1,PDE4B,PDE4D,PDE4A,NQO2,KRT7,PPARG,SLC6A1,PTGS2,ALOX5
Adapale,PTGS2,PTGS1,CNR2,CNR1,RHOA,HNF4G,HSPG2,LCMT1,NFE2L1,FDPS
Midodri,ADRA1D,ADRB2,ADRB1,ADRB3,HRH2,MAOB,MAOA,PIK3R3,PIK3R2,PIK3R1
Pantopr,PTGS2,PTGS1,PPARG,ALOX5,HTR2A,HTR2C,ADRA2A,HTR1A,ADRA1A,HTR1B
Citalop,SLC6A3,SLC6A2,CHRM3,CHRM4,CHRM1,CHRM5,DBH,CHRM2,HTR1A,HTR2A
Eletrip,HTR2A,HTR2C,DRD2,ADRA2B,ADRA1A,DRD3,ADRA1B,DRD1,MC2R,DRD5
Moxiflo,TOP2B,GABRA1,KCNA1,MT-ND1,GRIA1,KCNMA1,CCNA2,RRM1,CDK1,NR3C1
Nelfina,MGAM,GAA,PTGS2,HMGCR,ADRA1A,TNF,NFKB1,HTR2A,ADRB2,PTGS1
Glimepi,ABCC9,KCNJ8,PPARG,ABCC2,KCNJ12,HSPG2,VEGFA,KCNJ3,TSHR,BGLAP
Indinav,ADRA1A,PTGS2,PTGS1,HTR2A,ACE,ABCC8,PPARG,MGAM,GAA,ADRB2
Lovasta,HDAC1,HDAC8,HDAC3,ITGB2,LDLR,CD86,ACVR1B,NR3C2,AHR,DPP4
Enflura,KCNA4,GABRA3,GABRA4,NR3C1,ACCN2,UQCRQ,CALM1,SNAP25,GRIN2C,GABRG2
Pregaba,CACNA1B,HTR2A,CHRM1,ADRA2A,HTR2C,PLG,SLC6A4,DRD2,ADRA2C,DRD3
Temazep,GLRA2,GLRB,MKL1,GHRHR,PTGDR,HTR1A,GABBR1,IL6R,FNTB,ARPC1B
Milrino,PDE4B,TNF,TYMS,DHFR,CES1,COMT,ADRB2,HTR2C,HTR2B,HTR2A
Nevirap,RET,RET,PDGFRA,PDGFRB,CSF1R,KIT,DDR1,NTRK1,ABL1,HTR2A
Cladrib,ADORA1,ADORA2A,KIF2C,POLA2,S100P,KIF11,PDK3,AXIN1,RFC5,SLC12A3
Ranolaz,SCN10A,ADRB2,ADRB1,AVPR2,AVPR1A,KCNK9,CACNA1C,SCN3A,SCN2A,SCN4A
Ziprasi,HTR2B,HTR1F,MC2R,SLC6A4,ADRA1D,HRH2,HTR4,NOV,CXCL10,TSPO
Methyse,HTR1B,ADRA2A,ADRA1A,ADRA2B,ADRA1D,DRD3,ADRA1B,ADRA2C,DRD2,SLC6A2
Cabergo,SLC6A4,HTR1F,MC2R,CHRM1,NOV,GABRA3,GABRA1,GABRA4,GRIK2,CHRNA7
Dapsone,DRD2,HTR2A,NR3C2,ADRA1A,TUBB2C,TUBA1A,ADRA1B,DRD1,NPR1,CHRM1
Phenyto,KCNK9,SCN10A,MYH11,SCN2A,SCN3A,ELN,SCN4A,LTC4S,GABRA1,GABRA4
Doxycyc,CASP3,VEGFA,CASP1,IL1B,ALOX5,CYCS,ADRB2,ADRA1A,PTGS2,PTGS1
Clotrim,KCNN2,KCNMA1,NOS2,NOS3,KCNH2,KCNMB1,MMP12,CDA,ADRA1A,GABRA1
Anagrel,ADRA2A,ADRA1A,HTR7,ADRA2C,ADRA2B,HTR2C,CHRM5,DRD4,CHRM3,HTR1B
Sulfiso,PTGS2,PTGS1,CA2,CA4,PPARG,CA12,CHUK,GABRA1,CHRM1,SLC7A11
Metopro,MYH7,ADRB3,HTR4,HTR1A,HTR1B,REN,NPPB,ADRA1A,KCNH2,HRH2
Ropinir,SLC6A4,MC2R,HTR7,HTR1F,SCN10A,HTR6,ADRB1,CHRM3,CHRM1,CAMK4
Diatriz,RARA,PTGS2,RARG,PTGS1,RXRB,SCN5A,REN,ADRA1A,ADRA2A,ADRB2
Topiram,CA3,GRIK2,GABRA3,CA8,GRIK3,SCN2A,FGB,FGF2,FGG,FGA
Amsacri,TOP2B,KCNJ12,CCNA2,RRM1,TYMS,DHFR,NQO2,APRT,CXCL12,CHEK1
Theophy,PDE4D,PDE9A,PDE1A,ADCY5,PDE10A,MME,RND3,RYR1,GRM1,ITGB3
Argatro,APOE,P2RY12,F3,GABRB2,GABRG2,ACE,GABRA4,GABRA1,GABRD,GABRB1
