drug protein1 protein2 protein3 protein4 protein5 protein6 protein6 protein8 protein9 protein10
Cetrore FSHR TSHR ENPP1 DRD2 DRD3 TYR CHRM1 SCGB1A1 CHRM3 CHRM2
Thiamin ADRA2C HTR1B HTR2A DRD2 HTR2C ADRA2B ADRA2A DRD4 DRD3 DRD5
Vitamin ALDH2 RBP3 ALDH5A1 PGR ADORA1 MGMT NR3C1 ADORA2A CBS ALDH7A1
Pravast HMGCR LDLR ITGAL ITGB2 GABRB3 HDAC1 NR3C2 HDAC8 HDAC3 PTGER2
Fluvoxa SLC6A4 SLC6A3 SLC6A2 HTR2A HTR1A ADRA1A ADRA1B ADRA2A DBH SCN2A
Valsart ACE AGTR2 BDKRB2 AGTR1 P2RY12 CCR5 CXCR4 FPR1 PPARG ABCC8
Ramipri ACE ACE2 MYH7 AGTR2 ADRB2 ADRB1 NR3C2 PTGS2 PTGS1 PPBP
Fluniso NR3C1 NR3C2 PGR AR ATOX1 SMO RSL24D1 ABCC8 ANXA1 DPP4
Baclofe SLC6A2 SLC6A4 SLC6A3 CHRM3 CHRM1 OPRK1 CHRM2 OPRM1 OPRD1 GABBR2
Ampheta MAOB SLC6A4 SLC6A3 SLC6A2 SLC18A2 MAOA ADRA2C ADRA2A DRD2 ADRA2B
Nicotin CHRNA1 CHRNA2 CHRNA4 CHRNB2 CHRNA7 CHRNA5 CHRNA3 CHRNB4 MAOB CHRNB1
Cevimel CHRM5 CHRM2 CHRM4 CHRM3 CHRM1 BCHE ACHE HTR1B ADRA2C HTR2A
Lorazep GABRR1 GABRG2 GABRG3 GABRA3 GABRR2 GABRD GABRA4 GABRB1 GABRA1 GABRG1
Esmolol ADRB2 ADRB1 ADRB3 HTR4 HTR6 MYH7 HRH2 ADORA2B HTR1A KCNH2
Bortezo IMPA1 PSMB1 TOP2A PSMB3 SLC6A1 PSMB6 PSMB7 PSMD1 MAPK1 SLC25A4
Phenter MAOB SLC6A3 MAOA SLC6A2 SLC6A4 SLC18A2 DBH ADRA2C ADRA2A ADRA2B
Tramado SLC6A4 OPRD1 SLC6A3 SLC6A2 OPRL1 CHRM4 CHRM2 OPRM1 CHRM1 CHRM5
Betaxol ADRB1 ADRB2 ADRB3 HTR4 MYH7 HTR6 HTR1A HRH2 REN MMP13
Flucona CYP19A1 HTR1B HTR1D HTR1F PPARG PTGS1 PTGS2 ALOX5 HTR1A PPARA
Troglit PPARG PPARD NR5A1 ESR1 PPARA PLAUR AMBP ITGB2 OPRM1 OPRD1
Oseltam TYMS DHFR FKBP1A CEL BCHE FSHR ACHE SI MGAM GAA
Erythro BCHE ACHE OPRM1 OPRD1 OPRK1 CALM1 ADRA1A POMC CACNA1A KCNH2
Hydroxo PPA1 GNGT1 DCK ACACA RRM1 FBP1 LMAN1 FLT3 MMP15 EPN1
Caffein PDE4A ADORA1 ADORA2A PDE4B ADORA2B PDE4D PDE1A PDE9A PDE5A NT5E
Succiny CHRM5 CHRNA2 CHRM2 CHRM1 CHRM4 CHRM3 BCHE HTR3A KCNN2 SLC6A3
Sildena PDE5A PDE6H PDE6G TNFRSF1 TUBB4 CHM HNF4G NCOA5 GUCY1A2 CCT3
Dofetil ADRB1 CACNA1C ADRB2 KCNK1 KCNH2 CHRM2 CHRM3 KCNJ1 CHRM1 CHRM4
Pyrimet CHRM2 CHRM3 CHRM1 SCNN1A SCNN1G SCNN1D CHRM4 CD44 SLC16A1 BCHE
Reserpi TUBB ADRA1D GABRA1 GRIA2 CHRNA7 GABRA4 CHRNA4 ADRA1B ADRA2A GABRA3
Azithro MGAM GAA PTGS1 PTGS2 PDE4A PDE4D PDE4B PGD SI VARS
Ticlopi P2RY12 PTGS1 PDE4B PDE4D PDE4A NQO2 KRT7 PPARG SLC6A1 PTGS2
Adapale RARA PTGS2 PTGS1 CNR2 CNR1 RXRA RXRB RHOA HNF4G PDPK1
Midodri ADRA1B ADRA1A ADRA1D ADRB2 ADRB1 ADRB3 HRH2 MAOB PIK3R3 MAOA
Pantopr PPARG PTGS2 PTGS1 ALOX5 PDE4B MTNR1B MTNR1A PDE10A OPRK1 OPRM1
Citalop SLC6A3 SLC6A4 SLC6A2 CHRM3 CHRM4 CHRM1 CHRM5 CHRM2 DBH HTR1A
Eletrip HTR1D HTR1B HTR1A HTR1F HTR2A HTR2C HTR7 ADRA2B DRD2 ADRA1B
Moxiflo TOP2B TOP2A GABRA1 GRIA1 KCNA1 MT-ND1 KCNMA1 CCNA2 NR3C1 CXCL12
Nelfina MGAM GAA PTGS2 HMGCR NFKB1 TNF SI VARS PTGS1 ADRA1A
Glimepi ABCC9 KCNJ8 ABCC8 ABCC2 PPARG KCNJ1 KCNJ12 VEGFA HSPG2 CASR
Indinav ABCC8 PPARG ADRA1A PTGS2 ACE ACE2 PTGS1 HTR2A MTNR1B MTNR1A
Lovasta HMGCR HDAC1 LDLR HDAC8 HDAC3 ITGB2 ACVR1B CD86 NR3C2 AHR
Enflura GABRA1 KCNA4 KCNA1 GABRA3 GABRA4 GRIA1 UQCRQ NR3C1 GRIA3 GRIN2C
Pregaba CACNA1B HTR2A CHRM1 CHRM2 CHRM3 SLC6A4 PLG HTR1A HTR2C ADRA2A
Temazep GABRR2 GABRR1 GABRG2 GABRG3 GABRG1 GABRB3 GABRA3 GABRB2 GABRA1 GABRB1
Milrino PDE4B TNF TYMS DHFR CES1 COMT HTR2C HTR2B HTR2A HTR1A
Nevirap PDGFRA PDGFRB KIT RET RET CSF1R DDR1 ABL1 NTRK1 HTR2A
Cladrib ADORA1 POLA1 ADORA2A RRM1 KIF2C POLA2 SAT1 AXIN1 KIF11 PDK3
Ranolaz ADRB2 ADRB1 SCN10A AVPR2 AVPR1A KCNK9 SCN5A CACNA1C ADRB3 SCN4A
Ziprasi ADRA2C ADRA2B DRD3 ADRA2A DRD4 HTR1A HTR1D HTR1B DRD2 HTR2C
Methyse HTR2A HTR1B HTR2C HTR2B ADRA2A ADRA2B ADRA1A ADRA2C ADRA1D DRD3
Cabergo HTR2C HTR2B DRD2 HTR2A ADRA2C HTR1A HTR1B ADRA2A ADRA2B DRD3
Dapsone HTR2A DRD2 NR3C2 ADRA1A TUBB2C ADRA1B TUBA1A CHRM1 CHRM3 CHRM4
Phenyto SCN5A KCNK9 SCN10A MYH11 ELN SCN2A SCN3A SCN4A LTC4S GABRA1
Doxycyc CASP3 VEGFA IL1B CYCS CASP1 ALOX5 CCL2 PTGS2 AKT1 ACE
Clotrim KCNN2 KCNMA1 NOS2 NOS3 KCNN4 MMP12 KCNH2 KCNMB1 CDA NOS1
Anagrel ADRA2A ADRA2C ADRA2B ADRA1A HTR7 HTR2C DRD4 DRD2 DRD3 HTR1B
Sulfiso PTGS1 PTGS2 PPARG CHUK CA2 MAOA CA4 CA3 MAOB CA8
Metopro ADRB1 ADRB2 ADRB3 HTR4 HTR1A MYH7 HTR1B REN HTR6 HRH2
Ropinir ADRA2C DRD2 ADRA2A HTR2C HTR2A DRD3 HTR2B ADRA2B DRD4 HTR1B
Diatriz RARA RARG PTGS2 RXRB PTGS1 REN SCN5A AVPR1A AVPR2 ADRB2
Topiram CA3 GRIK2 GABRA3 CA8 FGB FGF2 SCN2A FGG CA4 GRIK3
Amsacri TOP2B KCNH2 KCNJ12 CCNA2 DHFR APRT TYMS NQO2 CXCL12 CHEK1
Theophy ADORA1 ADORA2A PDE4D PDE4B PDE4A ADORA2B PDE9A PDE1A ITGB3 ADCY5
Argatro F2 APOE F3 P2RY12 ACE GABRB2 GABRG2 GABRA1 GABRA4 GABRD
Disopyr CHRM4 CHRM3 CHRM5 CHRM1 KCND3 CHRM2 KCND2 SLC6A2 SLC6A3 KCNA1
Lidocai SCN10A SCN5A ERBB2 KCNK9 SCN3A SCN4A HTR1D SCN2A MYH11 TACR1
Pamidro PTPRS PTPRE PTPN4 ATP6V1A FDPS PTGS1 ACAT2 MGAM GAA PTPN1
Clemast CHRM1 CHRM2 CHRM5 CHRM3 CHRM4 HTR2A SLC6A4 HTR2C OPRM1 OPRD1
Acarbos MGAM SI GAA PDE4A PDE4D PDE4B SCTR VARS LCT DPEP1
Venlafa SLC6A2 SLC6A4 OPRM1 OPRD1 OPRK1 SLC6A3 HTR2A CHRM3 CHRM2 CHRM5
Travopr PTGER1 AMY1A AKR1C3 KCNQ1 PTGFR PTGER3 TBXA2R CA4 PPARA PDE4D
Amcinon NR3C1 ANXA2 NR3C2 MIF PGR AR ATOX1 ANXA5 CP RSL24D1
Atomoxe SLC6A4 SLC6A3 SLC6A2 OPRD1 OPRM1 OPRK1 ADRB2 HTR3A CHRM3 DBH
Chloram TYMS DHFR GART ATIC OPRK1 RRM1 POLE2 OPRD1 POLA1 RRM2
Etomida GABRG2 GABRA1 GABRA3 GABRA4 GABRB2 GABRG1 ADRA2A ACACA GABRB3 GABRB1
Raltitr DHFR TYMS GART ATIC MDM2 F10 CHRM1 CHRM3 CHRM4 ADRA2B
Morphin OPRD1 OPRM1 OPRK1 OPRL1 P2RY2 CNR1 DRD4 ESR1 CREB1 CHRNB2
Ropivac SCN5A SCN10A IFNG ADRB2 HTR1D TACR1 ADRB1 SCN4A SCN2A CHRM3
Bupivac SCN10A SCN5A PTGFR TBXA2R HTR1D TACR1 IFNG SCN4A GALNT1 ADRBK1
Pencicl MMAA MTRR MMAB MTR PNP NR3C1 PDE4B ADORA1 ADORA2A PPA1
Tranexa ADRB2 CACNA1B LPA ABAT RARA RARB UGCG HDAC9 CELA1 CELA1
Ertapen F10 OPRM1 HTR2A HTR1A HTR3A OPRK1 HTR1D HTR2C HTR1B CHRM3
Bexarot RXRA RXRB RARA HSPG2 FDPS LIPF RARG LCMT1 CDA MGST1
Ibutili ADRB2 ADRB1 KCNJ8 KCNJ12 MYH11 KCNH2 CACNA1D SCN5A GSTZ1 CACNA1F
Chlorth SLC12A3 SLC12A2 SLC12A1 CA2 ADRA1B CTLA4 KCNQ1 KCNE1 ACE2 IL3
Pentoba GABRA1 GABRA3 GABRA4 CHRNA7 GRIA2 GRIA1 GRIK2 GRIK3 GRIK1 CHRNA4
Valproi HDAC4 PTGS2 ESR1 ESR2 HDAC7 TYR NR1I2 CHRNA4 GPD1 CACNA1A
Zolmitr HTR1A HTR1F HTR1B HTR1D HTR7 MC2R SLC6A4 HTR2C SCN5A ADRA2C
Acetami PTGS2 PTGS1 ESR1 ESR2 ABAT HDAC9 EGFR CASP1 NR1I2 SCN5A
Gefitin ADRA1B ADRA1D ADRA1A EGF PTK2 NR1I2 KCNH2 MTOR MAP2K1 AR
Codeine OPRK1 OPRD1 OPRM1 OPRL1 CNR1 P2RY2 DRD4 FPR1 GRIK1 SSTR1
Piperac MGAM GAA GABRA1 GRIA1 KCNA1 MT-ND1 KCNMA1 PDE4A PDE4B PDE4D
Dihydro HTR1B HTR1D ADRA2B HTR1A DRD2 ADRA2C ADRA1B HTR1F ADRA1A ADRA1D
Amitrip CHRM1 CHRM3 SLC6A4 CHRM2 CHRM5 CHRM4 ADRA1D ADRA1A KCND2 KCND3
Tolcapo MAOB DRD2 DRD3 DRD5 DRD4 DRD1 MAOA SLC6A3 DBH CHRM3
Fluorom NR3C1 AR NR3C2 PGR ANXA1 NR0B1 PTGFR NOS2 ATOX1 RSL24D1
Hydromo OPRM1 OPRD1 OPRK1 OPRL1 CNR1 DRD4 P2RY2 SLC6A2 GRIK1 FPR1
Indomet PTGS2 PTGS1 HTR1B NOS2 PPARD HTR3A HTR1A HTR1D PLA2G1B HTR4
Ethambu GAA MGAM UGCG CHRNA2 SI ADRA1A CHRM3 SLC6A2 ACHE CHRM2
Metform PRKAB2 ADRA2A PPARG PPARA PPARD PLD1 ADRA2B ADRA2C TPO NR3C1
Methado OPRK1 SLC6A2 OPRL1 SLC6A4 GRIN3B GRIN1 OPRD1 OPRM1 GRIK3 ADRB1
Olanzap CHRM1 DRD3 CHRM5 ADRA2A DRD2 CHRM3 HTR1A HTR1B HTR2C ADRA1D
Atenolo ADRB2 ADRB1 ADRB3 HTR4 MYH7 HTR1A HTR6 HRH2 MMP13 HTR1B
Pimecro NR3C1 FKBP1A EIF4E MTOR CBS PREP TUBB1 COX6C GABRA1 GRIA1
Omepraz TPO CACNA1H KCNH2 HRH2 OPRD1 OPRK1 PDE4B PDE10A ADRB2 PPARG
Pyrazin PTGS1 PTGS2 PDE4B ADORA1 PGD POLA2 ADORA2B PDE4A GABRG2 SCNN1A
Cetiriz S100A12 S100A1 S100A13 PPARD PPARG PPARA SLC6A3 SLC6A4 GRIN3A SLC6A2
Diltiaz CACNA1D CACNB2 CACNA1C SCN5A CACNB4 CACNB3 CACNA1F CACNA1S CACNA1B ACE
Protrip SLC6A4 SLC6A2 HTR2A ADRA1A CHRM1 SLC6A3 CHRM5 CHRM4 CHRM3 CHRM2
Alfuzos ADRA1A ADRA1B ADRA1D KCNH2 HRH2 ADRA2A SLC12A1 HTR6 CGA HRH4
Clobaza GABRB1 GABRB2 GABRR1 GABRG2 GABRG1 GABRA3 GABRB3 GABRA1 GABRA4 GABRG3
Minoxid PTGS2 PDE10A PDE5A REN PDE4A ADA SLC12A1 CASP1 DRD2 HSPG2
Megestr AR NR3C1 CA4 CA2 PGR NR3C2 ESR2 ESR1 ATOX1 MIF
Aztreon MPO SCN5A PTGS1 PTGS2 PON1 GABRA1 OPRM1 CHRM2 ADRA1A CHRM1
Chlorzo ACHE GRIN2D GRIN3B GRIN3A SCN10A GRIN1 SLC6A2 BCHE MAP1A ESR1
Aminogl PPARG SLC6A4 SLC6A2 ALOX5 CYP11B1 GRIN1 CYP17A1 GABRA1 CACNA1G GABRA4
Mefloqu KCNH2 ADORA2B HBB ADORA1 SCN5A CALM1 HTR1D HTR1B STMN4 GABRA1
Sulfadi TYMS DHFR PTGS2 PTGS1 CHUK IKBKB NEU1 CES1 PPARG SLC7A11
Vinorel TUBB TUBA4A PTGER2 TUBB4 TUBB3 PTGER3 TUBG1 TUBB1 ACHE TOP1
Anidula ACE CHRM2 CHRM3 CHRM1 CHRM5 CHRM4 REN ACE2 MMAA MUT
Clozapi CHRM1 DRD2 DRD3 HTR2C CHRM5 CHRM3 CHRM4 HTR2A DRD4 DRD5
Sucralf FGF1 CA4 CA2 GABRA1 GRIK1 FGF4 FGG FGA OTC FGB
Levonor AR NR3C1 PGR NR3C2 ESR2 ADRA1D ESR1 ADRA1B KCNH2 ESRRA
Norepin ADRA1D ADRB1 ADRB2 ADRB3 ADRA2B ADRA1B ADRA1A ADRA2A HRH2 ADRA2C
Cidofov RARA RARB RARG CMPK1 TYMS RRM1 RXRB ADRA1A ADRA1D ADRA1B
Mirtaza SLC6A4 HTR2B HTR1A SLC6A2 OPRD1 ADRA2C ADRA2B CNR1 SLC6A3 PPP3CA
Meproba GABRA3 GABRA1 GABRA4 GABRD GABRG2 GABRG1 GABRG3 HTR1A GABRB2 CHRM1
Timolol ADRB2 ADRB1 ADRB3 HTR1A HTR1B HTR4 MYH7 HTR6 REN CA4
Trepros PPARA PPARG PTGER2 CNR1 CNR2 ABCC8 PTGDR ADRB1 ADRB2 OPRK1
Colesti CHRM3 CHRM2 CHRM1 CHRM5 CHRM4 CHRNA2 ADRB1 ADRB2 DPP4 PCSK2
Trihexy CHRM1 CHRM2 CHRM3 CHRM5 CHRM4 CHRNA2 PCSK2 OPRM1 SLC6A2 SLC6A4
Palonos PTGS2 HRH2 NFKB1 FGFR2 TNF HTR3A VWF PTGS1 CDH5 TNFSF11
Mexilet ADRB2 ADRB1 ADRA2A ADRA2B ADRA2C ADRA1A KCNK9 CALM1 MGAM GAA
Amlodip CACNA1S CACNA1F CACNA1C CACNA1D CACNB2 CACNA1A CACNB4 CACNB3 CALM1 PDE1A
Tacrine ACHE BCHE HTR1D CHRNB2 CHRNA3 HTR2A CES1 CHRNB4 CHRNA7 CHRND
Triamte SCNN1G DHFR SCNN1A SCNN1D MTNR1B MTNR1A SCNN1B PCMT1 COL2A1 CFTR
Phenyle ADRA1A ADRA1B ADRA1D ADRB2 ADRB1 ADRB3 ADRA2A ADRA2B HRH2 ADRA2C
Digoxin NR3C1 GABRB3 ATP2A1 NR3C2 KCNH2 KCNJ12 OPRK1 OPRD1 OPRM1 GABRB2
Nimodip CACNB2 CACNA1C CACNA1D CACNA1S CACNB4 CACNA1F CACNB3 CACNA1A CALM1 CACNA1B
Carisop GABRA1 GABRA4 GABRA3 CHRM1 ADORA1 ADORA2A PDE4A PDE4D PDE4B CHRM2
Progest AR ESR2 NR3C1 ESR1 CYP11A1 PGR NR3C2 CYP19A1 NPY ESRRA
Sorafen FLT1 RAF1 BRAF CSF1R FLT4 KDR PDE4D PDE4A FLT3 SFTPA1
Griseof SLC12A1 ATP1A1 NR1I2 MMP20 MMP20 PPARA GRIN3A GRIN2B PTGS2 PTGS1
Nisoldi CACNA1C CACNA1S CACNA1D CACNA1F CACNB4 CACNB2 CACNB3 CACNA1B CACNA1A CACNA1H
Alprazo GABRR2 GABRA3 GABRG3 GABRA1 GABRR1 GABRB1 GABRB2 GABRB3 GABRG2 GABRG1
Loxapin DRD3 HTR2C HTR2A DRD2 HTR2B HTR1A DRD5 DRD4 CHRM1 ADRA2A
Carbach CHRM3 CHRM2 CHRM5 CHRM1 CHRNA4 CHRM4 CHRNA7 KCNN2 CHRNA2 CHRNA5
Rosigli PPARG PPARD PPARA SERPINE SLC29A1 ESRRG ITGB2 NOS2 ANXA1 NR0B1
Pramipe DRD2 HTR2C HTR2A DRD3 ADRA2C ADRA2A ADRA2B HTR1B HTR1A DRD4
Ampicil HMGCR MGAM GAA PTGS2 PTGS1 LDLR ADRA1A ADRB2 CHRM2 ADRB1
Penicil OPRD1 OPRM1 OPRK1 SLC6A2 PTGS1 GABRA1 ADRB2 HTR2A ADRB1 CHRM1
Secobar GABRA1 GABRA3 GABRA4 CHRNA7 GRIA2 GRIA1 GRIK1 GRIK3 CHRNA4 GABRD
Miglust GAA MGAM THBD PLG SI CHRM2 ADRA2A RARA RARB CHRM3
Spirono NR3C1 NR3C2 PGR ESR1 AR TUBB1 TUBB NPY OPRM1 OPRD1
Methylp SLC6A3 SLC6A2 SLC6A4 GRIN2D GRIN2B GRIN2C OPRK1 CHRM1 CHRM4 CHRM3
Methoca ATP1A1 ADRB2 ADRB1 GRIN3A GRIN2B ADRB3 HTR1A HTR1B ACHE CACNA1G
Zolpide GABRA4 GABRA1 GABRA3 MTNR1B MTNR1A AVPR1A AVPR2 GABRD HTR1A GABRG2
Famcicl ADORA2A ADORA2B ADORA1 POLA1 GRIN1 SLC6A4 SLC6A2 RRM2 RRM2B RRM1
Lindane GLRB GRIN3A GABRB3 GABRB2 GLRA2 P2RY2 GABBR1 GABRD GABRR1 GRIN2B
Prochlo DRD2 CALM1 ADRA1A ADRA1B DRD3 CALY TNNC1 S100A4 DRD1 HTR1A
Cyprohe CHRM5 CHRM4 HTR2A CHRM3 CHRM1 HTR2B SLC6A2 SLC6A4 CHRM2 ADRA1D
Allopur HTR2C HTR2B HTR2A HTR4 HMGCR MAP2K1 GAA ADRA2A ADRA1A DRD1
Ceftazi PON1 MPO RARB RARG RXRA RXRB RXRG RARA PTGS2 PTGS1
Cerivas HMGCR LDLR MGAM GAA PTGS2 PTGS1 RXRA CYP17A1 SI NR1H3
